DATABASE,GOLD SQL,PREDICTED SQL,DECISION
concert_singer,SELECT count(*) FROM singer,SELECT count(*) FROM singer,CORRECT
concert_singer,SELECT count(*) FROM singer,SELECT count(*) FROM singer,CORRECT
concert_singer,"SELECT name , country , age FROM singer ORDER BY age DESC","SELECT Name , Country , Age FROM singer ORDER BY Age DESC",CORRECT
concert_singer,"SELECT name , country , age FROM singer ORDER BY age DESC","SELECT Name , Country , Age FROM singer ORDER BY Age DESC",CORRECT
concert_singer,"SELECT avg(age) , min(age) , max(age) FROM singer WHERE country = 'France'","SELECT avg(Age) , min(Age) , max(Age) FROM singer WHERE Country = 'France'",CORRECT
concert_singer,"SELECT avg(age) , min(age) , max(age) FROM singer WHERE country = 'France'","SELECT avg(age) , min(age) , max(age) FROM singer WHERE country = ""France""",CORRECT
concert_singer,"SELECT song_name , song_release_year FROM singer ORDER BY age LIMIT 1","SELECT T1.Name , T1.Song_release_year FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID ORDER BY T1.Age ASC LIMIT 1",WRONG
concert_singer,"SELECT song_name , song_release_year FROM singer ORDER BY age LIMIT 1","SELECT t1.name , t1.song_release_year FROM singer AS t1 JOIN singer_in_concert AS t2 ON t1.singer_id = t2.singer_id ORDER BY t1.age LIMIT 1",WRONG
concert_singer,SELECT DISTINCT country FROM singer WHERE age > 20,SELECT DISTINCT Country FROM singer WHERE Age > 20,CORRECT
concert_singer,SELECT DISTINCT country FROM singer WHERE age > 20,SELECT DISTINCT Country FROM singer WHERE Age > 20,CORRECT
concert_singer,"SELECT country , count(*) FROM singer GROUP BY country","SELECT country , count(*) FROM singer GROUP BY country",CORRECT
concert_singer,"SELECT country , count(*) FROM singer GROUP BY country","SELECT Country , COUNT(*) FROM singer GROUP BY Country",CORRECT
concert_singer,SELECT song_name FROM singer WHERE age > (SELECT avg(age) FROM singer),SELECT Song_Name FROM singer WHERE Age > (SELECT AVG(Age) FROM singer),CORRECT
concert_singer,SELECT song_name FROM singer WHERE age > (SELECT avg(age) FROM singer),SELECT T2.Song_Name FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.Age > (SELECT avg(age) FROM singer),WRONG
concert_singer,"SELECT LOCATION , name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT Location , Name FROM stadium WHERE Capacity > 5000 AND Capacity < 10000",WRONG
concert_singer,"SELECT LOCATION , name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT Location , Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000",CORRECT
concert_singer,"SELECT max(capacity), average from stadium","SELECT max(Capacity) , avg(Average) FROM stadium",WRONG
concert_singer,"SELECT avg(capacity) , max(capacity) from stadium","SELECT avg(Capacity) , max(Capacity) FROM stadium",CORRECT
concert_singer,"SELECT name , capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT T1.name , T1.capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.stadium_id = T2.stadium_id ORDER BY T1.average DESC LIMIT 1",WRONG
concert_singer,"SELECT name , capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT Name , Capacity FROM stadium WHERE Stadium_ID IN (SELECT Stadium_ID FROM concert WHERE concert_ID IN (SELECT concert_ID FROM singer_in_concert GROUP BY concert_ID ORDER BY count(*) DESC LIMIT 1))",WRONG
concert_singer,SELECT count(*) FROM concert WHERE YEAR = 2014 OR YEAR = 2015,SELECT count(*) FROM concert WHERE year = 2014 OR year = 2015,CORRECT
concert_singer,SELECT count(*) FROM concert WHERE YEAR = 2014 OR YEAR = 2015,SELECT COUNT(*) FROM concert WHERE year = 2014 OR year = 2015,CORRECT
concert_singer,"SELECT T2.name , count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id GROUP BY T1.stadium_id","SELECT stadium.Name, count(*) FROM concert INNER JOIN stadium ON concert.Stadium_ID = stadium.Stadium_ID GROUP BY stadium.Name",WRONG
concert_singer,"SELECT T2.name , count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id GROUP BY T1.stadium_id","SELECT t1.Name , count(*) FROM concert AS t1 JOIN stadium AS t2 ON t1.Stadium_ID = t2.Stadium_ID GROUP BY t1.Name",WRONG
concert_singer,"SELECT T2.name , T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.year >= 2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1","SELECT T1.Name , T1.Capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T1.Year >= 2014 GROUP BY T2.Stadium_ID ORDER BY count(*) DESC LIMIT 1",WRONG
concert_singer,"SELECT t2.name , t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id = t2.stadium_id where t1.year > 2013 group by t2.stadium_id order by count(*) desc limit 1","SELECT T1.Name, T1.Capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T2.Year > 2013 GROUP BY T2.Stadium_ID ORDER BY count(*) DESC LIMIT 1",WRONG
concert_singer,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,SELECT year FROM concert GROUP BY year ORDER BY count(*) DESC LIMIT 1,CORRECT
concert_singer,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,SELECT Year FROM concert GROUP BY Year ORDER BY count(*) DESC LIMIT 1,CORRECT
concert_singer,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT Name FROM stadium WHERE Stadium_ID NOT IN (SELECT Stadium_ID FROM concert),CORRECT
concert_singer,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT Name FROM stadium WHERE Stadium_ID NOT IN (SELECT Stadium_ID FROM concert),CORRECT
concert_singer,SELECT country FROM singer WHERE age > 40 INTERSECT SELECT country FROM singer WHERE age < 30,SELECT DISTINCT Country FROM singer WHERE Age > 40 INTERSECT SELECT DISTINCT Country FROM singer WHERE Age < 30,CORRECT
concert_singer,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.year = 2014,SELECT Name FROM stadium EXCEPT SELECT T1.Name FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T2.Year = 2014,CORRECT
concert_singer,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.year = 2014,SELECT Name FROM stadium WHERE Stadium_ID NOT IN (SELECT Stadium_ID FROM concert WHERE Year = 2014),WRONG
concert_singer,"SELECT T2.concert_name , T2.theme , count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id = T2.concert_id GROUP BY T2.concert_id","SELECT T1.concert_Name , T1.Theme , count(*) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID = T2.concert_ID GROUP BY T1.concert_ID",CORRECT
concert_singer,"SELECT t2.concert_name , t2.theme , count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id = t2.concert_id group by t2.concert_id","SELECT T1.concert_Name , T1.Theme , COUNT(*) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID = T2.concert_ID GROUP BY T1.concert_Name , T1.Theme",WRONG
concert_singer,"SELECT T2.name , count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id = T2.singer_id GROUP BY T2.singer_id","SELECT T2.Name , COUNT(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T2.Singer_ID",CORRECT
concert_singer,"SELECT T2.name , count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id = T2.singer_id GROUP BY T2.singer_id","SELECT T1.Name , count(*) FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T1.Name",WRONG
concert_singer,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id = T2.singer_id JOIN concert AS T3 ON T1.concert_id = T3.concert_id WHERE T3.year = 2014,"SELECT t1.Name FROM singer AS t1 JOIN singer_in_concert AS t2 ON t1.Singer_ID = t2.Singer_ID JOIN concert AS t3 ON t2.concert_ID = t3.concert_ID WHERE t3.Year = ""2014""",CORRECT
concert_singer,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id = T2.singer_id JOIN concert AS T3 ON T1.concert_id = T3.concert_id WHERE T3.year = 2014,SELECT DISTINCT T2.Name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.concert_ID IN (SELECT concert_ID FROM concert WHERE Year = 2014),CORRECT
concert_singer,"SELECT name , country FROM singer WHERE song_name LIKE '%Hey%'","SELECT s.name, s.country FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id JOIN concert c ON c.concert_id = sic.concert_id WHERE c.concert_name LIKE '%Hey%'",WRONG
concert_singer,"SELECT name , country FROM singer WHERE song_name LIKE '%Hey%'","SELECT DISTINCT t1.name, t1.country FROM singer AS t1 JOIN song AS t2 ON t1.singer_id = t2.singer_id WHERE t2.title LIKE ""%Hey%""",WRONG
concert_singer,"SELECT T2.name , T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.Year = 2014 INTERSECT SELECT T2.name , T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.Year = 2015","SELECT t1.name , t1.location FROM stadium AS t1 JOIN concert AS t2 ON t1.stadium_id = t2.stadium_id WHERE t2.year = '2014' INTERSECT SELECT t1.name , t1.location FROM stadium AS t1 JOIN concert AS t2 ON t1.stadium_id = t2.stadium_id WHERE t2.year = '2015'",CORRECT
concert_singer,"SELECT T2.name , T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.Year = 2014 INTERSECT SELECT T2.name , T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.Year = 2015","SELECT DISTINCT t1.name, t1.location FROM stadium AS t1 JOIN concert AS t2 ON t1.stadium_id = t2.stadium_id WHERE t2.year = 2014 INTERSECT SELECT DISTINCT t1.name, t1.location FROM stadium AS t1 JOIN concert AS t2 ON t1.stadium_id = t2.stadium_id WHERE t2.year = 2015",CORRECT
concert_singer,SELECT count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT count(*) FROM concert WHERE Stadium_ID = (SELECT Stadium_ID FROM stadium WHERE Capacity = (SELECT max(Capacity) FROM stadium)),CORRECT
concert_singer,SELECT count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),"SELECT T1.Stadium_ID , count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.Stadium_ID = T2.Stadium_ID GROUP BY T1.Stadium_ID ORDER BY T2.Capacity DESC LIMIT 1",WRONG
pets_1,SELECT count(*) FROM pets WHERE weight > 10,SELECT count(*) FROM Pets WHERE weight > 10,CORRECT
pets_1,SELECT count(*) FROM pets WHERE weight > 10,SELECT count(*) FROM Pets WHERE weight > 10,CORRECT
pets_1,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,SELECT weight FROM Pets WHERE PetType = 'dog' AND pet_age = (SELECT min(pet_age) FROM Pets WHERE PetType = 'dog' ),WRONG
pets_1,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,SELECT weight FROM Pets WHERE PetType = 'dog' AND pet_age = (SELECT min(pet_age) FROM Pets WHERE PetType = 'dog' ),WRONG
pets_1,"SELECT max(weight) , petType FROM pets GROUP BY petType","SELECT PetType , max(weight) FROM Pets GROUP BY PetType",CORRECT
pets_1,"SELECT max(weight) , petType FROM pets GROUP BY petType","SELECT max(weight) , PetType FROM Pets GROUP BY PetType",CORRECT
pets_1,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid WHERE T1.age > 20,SELECT count(*) FROM Has_Pet AS T1 JOIN Student AS T2 ON T1.StuID = T2.StuID WHERE T2.Age > 20,CORRECT
pets_1,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid WHERE T1.age > 20,SELECT count(*) FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T1.Age > 20,CORRECT
pets_1,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid JOIN pets AS T3 ON T2.petid = T3.petid WHERE T1.sex = 'F' AND T3.pettype = 'dog',SELECT count(*) FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T1.Sex = 'F' AND T3.PetType = 'dog',CORRECT
pets_1,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid JOIN pets AS T3 ON T2.petid = T3.petid WHERE T1.sex = 'F' AND T3.pettype = 'dog',"SELECT count(*) FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T1.Sex = ""F"" AND T3.PetType = ""Dog""",WRONG
pets_1,SELECT count(DISTINCT pettype) FROM pets,SELECT count(DISTINCT PetType) FROM Pets,CORRECT
pets_1,SELECT count(DISTINCT pettype) FROM pets,SELECT count(DISTINCT PetType) FROM Pets,CORRECT
pets_1,SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid JOIN pets AS T3 ON T3.petid = T2.petid WHERE T3.pettype = 'cat' OR T3.pettype = 'dog',"SELECT Fname FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType = ""Cat"" OR PetType = ""Dog""))",WRONG
pets_1,SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid JOIN pets AS T3 ON T3.petid = T2.petid WHERE T3.pettype = 'cat' OR T3.pettype = 'dog',"SELECT Fname FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType = ""cat"" OR PetType = ""dog""))",WRONG
